0 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
15 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
2251 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
2266 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
2269 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev cb482944667f96f43c89932dcb66d61ee7e4ac1d]
3124 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
3342 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0001
3914 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0001
4170 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0001/
4171 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0001
15360 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0001 running in uber mode : false
704706 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 7%
705709 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 10%
707720 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 22%
708726 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 25%
709729 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 29%
710732 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 38%
711739 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 39%
712742 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 41%
713744 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 44%
714747 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 45%
715750 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 49%
716752 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 59%
717755 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 67%
718757 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 74%
719761 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 85%
720767 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 87%
721770 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 89%
722774 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 92%
723777 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 94%
724782 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 97%
725785 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 99%
726791 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 100%
727798 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0002 completed successfully
727822 [main] INFO org.apache.hadoop.mapreduce.Job  - Counters: 58
	File System Counters
		FILE: Number of bytes read=2595618537
		FILE: Number of bytes written=3959767127
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=2014
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=19
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
		S3: Number of bytes read=1353494870
		S3: Number of bytes written=1418691662
		S3: Number of read operations=0
		S3: Number of large read operations=0
		S3: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=19
		Launched reduce tasks=20
		Data-local map tasks=19
		Total time spent by all maps in occupied slots (ms)=37382400
		Total time spent by all reduces in occupied slots (ms)=54489792
		Total time spent by all map tasks (ms)=778800
		Total time spent by all reduce tasks (ms)=567602
		Total vcore-milliseconds taken by all map tasks=778800
		Total vcore-milliseconds taken by all reduce tasks=567602
		Total megabyte-milliseconds taken by all map tasks=1196236800
		Total megabyte-milliseconds taken by all reduce tasks=1743673344
	Map-Reduce Framework
		Map input records=3074221
		Map output records=74352276
		Map output bytes=3937896702
		Map output materialized bytes=1381647348
		Input split bytes=2014
		Combine input records=0
		Combine output records=0
		Reduce input groups=3364452
		Reduce shuffle bytes=1381647348
		Reduce input records=74352276
		Reduce output records=3364452
		Spilled Records=223056828
		Shuffled Maps =361
		Failed Shuffles=0
		Merged Map outputs=361
		GC time elapsed (ms)=26189
		CPU time spent (ms)=793390
		Physical memory (bytes) snapshot=28211412992
		Virtual memory (bytes) snapshot=151088685056
		Total committed heap usage (bytes)=26887585792
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	acad.assignment3.CountData
		DanglingFactor=0
		NumberOfPages=3364452
	File Input Format Counters 
		Bytes Read=1353494870
	File Output Format Counters 
		Bytes Written=1418691662
727950 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
727950 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
728140 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 19
728234 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:38
728284 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0003
728322 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0003
728330 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0003/
728331 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0003
737464 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0003 running in uber mode : false
737464 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
754544 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 1% reduce 0%
